region,site_id,Station,SamplingDate,SamplingMonth,ProbeDepth,SamplingYear,Time,Latitude,Longitude,Sensor Present,DissolvedOxygen,%DO,SpecificConductivity,Salinity,Temperature,FieldInstrument,HydrologySample?,TurbiditySample?,Turbidity_rep1,Turbidity_rep2,Turbidity_rep3,Turbidity_rep4,Turbidity_mean,TurbidityInstrument,Notes
kb,kbjki,100m,9/9/22,September,1,2022,10:00:00 AM,59.451241,-151.515588,n,1.1,11.9,31369,27.1,11.2,YSI 2030,n,y,3.5,3.86,3.96,,3.773333333,Hach 2100P Turbidimeter,
kb,kbjki,50m,9/9/22,September,1,2022,9:45:00 AM,59.452352,-151.515064,n,1.14,12.4,31433,27.3,11.3,YSI 2030,n,y,6.31,6.54,6.56,,6.47,Hach 2100P Turbidimeter,
kb,kbjki,near,9/9/22,September,1,2022,8:15:00 AM,59.451013,-151.506025,y,2.85,29.4,26101,22.9,10.2,YSI 2030,n,y,17.4,17.9,16.1,,17.13333333,Hach 2100P Turbidimeter,
kb,kbtui,100m,3/31/21,April,1,2021,10:53:00 AM,59.421935,-151.307919,n,12.6,106.7,36.7,22,2.1,YSI 2030,n,y,7.5,6.73,7.44,,7.223333333,Hach 2100P Turbidimeter,
kb,kbtui,100m,3/31/21,April,5,2021,10:54:00 AM,59.421935,-151.307919,n,12.46,115.9,49.61,31.5,3.3,YSI 2030,n,n,,,,,,,
kb,kbtui,50m,3/31/21,April,1,2021,10:50:00 AM,59.422443,-151.306897,n,13.54,112.1,32.56,19.8,2.3,YSI 2030,n,y,9.96,10.1,10.1,,10.05333333,Hach 2100P Turbidimeter,
kb,kbtui,50m,3/31/21,April,5,2021,10:51:00 AM,59.422443,-151.306897,n,12.89,119.6,49.62,31.5,3.3,YSI 2030,n,n,,,,,,,
kb,kbtui,near,3/31/21,April,1,2021,12:00:00 AM,59.420369,-151.306006,y,12.21,,33.08,20.1,2.5,YSI 2030,n,y,22.8,25.3,25.6,,24.56666667,Hach 2100P Turbidimeter,
kb,kbtui,near,3/31/21,April,5,2021,12:00:00 AM,59.420369,-151.306006,y,14.15,,36.71,22.5,2.4,YSI 2030,n,n,,,,,,,
kb,kbtui,100m,4/30/21,May,1,2021,11:40:00 AM,59.421935,-151.307919,n,14.92,131.6,15316,15.4,4.6,YSI 2030,n,y,5.85,5.88,5.36,,5.696666667,Hach 2100P Turbidimeter,
kb,kbtui,100m,4/30/21,May,5,2021,11:41:00 AM,59.421935,-151.307919,n,15.43,147.9,29656,31,4.6,YSI 2030,n,n,,,,,,,
kb,kbtui,50m,4/30/21,May,1,2021,11:20:00 AM,59.422443,-151.306897,n,15.29,127.3,10551,11.7,4.4,YSI 2030,n,y,5.8,5.98,5.39,,5.723333333,Hach 2100P Turbidimeter,
kb,kbtui,50m,4/30/21,May,5,2021,11:22:00 AM,59.422443,-151.306897,n,16.38,157.5,29628,30.9,4.7,YSI 2030,n,n,,,,,,,
kb,kbtui,near,4/30/21,May,1,2021,12:00:00 AM,59.420369,-151.306006,y,14.45,,9918,9.5,4.2,YSI 2030,n,y,8.5,8.71,8.42,,8.543333333,Hach 2100P Turbidimeter,
kb,kbtui,near,4/30/21,May,5,2021,12:00:00 AM,59.420369,-151.306006,y,14.58,,12007,11.7,4.2,YSI 2030,n,n,,,,,,,
kb,kbtui,100m,5/29/21,June,1,2021,11:27:00 AM,59.421935,-151.307919,n,15.28,128.2,13598,21.4,5.4,YSI 2030,n,y,2.13,2.04,2.05,,2.073333333,Hach 2100P Turbidimeter,
kb,kbtui,100m,5/29/21,June,5,2021,11:27:00 AM,59.421935,-151.307919,n,13.83,135.4,30947,31.5,5.7,YSI 2030,n,n,,,,,,,
kb,kbtui,50m,5/29/21,June,1,2021,11:25:00 AM,59.422443,-151.306897,n,14.14,128.6,19077,18.8,5.4,YSI 2030,n,y,1.85,1.92,1.95,,1.906666667,Hach 2100P Turbidimeter,
kb,kbtui,50m,5/29/21,June,5,2021,11:25:00 AM,59.422443,-151.306897,n,14,137.3,31035,31.5,5.8,YSI 2030,n,n,,,,,,,
kb,kbtui,near,5/29/21,June,1,2021,12:00:00 AM,59.420369,-151.306006,y,14.53,,4731,4.3,4.5,YSI 2030,n,y,2.27,2.29,2.1,,2.22,Hach 2100P Turbidimeter,
kb,kbtui,near,5/29/21,June,5,2021,12:00:00 AM,59.420369,-151.306006,y,15.86,,4997,4.5,4.4,YSI 2030,n,n,,,,,,,
kb,kbtui,100m,6/23/21,July,1,2021,8:57:00 AM,59.421935,-151.307919,n,16.1,140.1,15167,16.6,6.5,YSI 2030,n,y,9.24,9.25,9.32,,9.27,Hach 2100P Turbidimeter,
kb,kbtui,100m,6/23/21,July,5,2021,8:58:00 AM,59.421935,-151.307919,n,14.5,149,32593,31.4,7.7,YSI 2030,n,n,,,,,,,
kb,kbtui,50m,6/23/21,July,1,2021,8:52:00 AM,59.422443,-151.306897,n,15.58,123.9,8861,8.2,5.5,YSI 2030,n,y,13.9,14.7,14.5,,14.36666667,Hach 2100P Turbidimeter,
kb,kbtui,50m,6/23/21,July,5,2021,8:54:00 AM,59.422443,-151.306897,n,14.45,147.7,32586,31.4,7.6,YSI 2030,n,n,,,,,,,
kb,kbtui,near,6/23/21,July,1,2021,12:00:00 AM,59.420369,-151.306006,y,16.35,,21466,20.1,7.2,YSI 2030,n,y,3.52,2.51,2.94,,2.99,Hach 2100P Turbidimeter,
kb,kbtui,near,6/23/21,July,5,2021,12:00:00 AM,59.420369,-151.306006,y,14.39,,28846,27.1,8.1,YSI 2030,n,n,,,,,,,
kb,kbtui,100m,7/26/21,August,1,2021,10:57:00 AM,59.421935,-151.307919,n,11.8,124.4,26484,22.6,11.3,YSI 2030,n,y,2.84,2.86,2.63,,2.776666667,Hach 2100P Turbidimeter,
kb,kbtui,100m,7/26/21,August,5,2021,10:58:00 AM,59.421935,-151.307919,n,12.69,136.8,34098,31,9.9,YSI 2030,n,n,,,,,,,
kb,kbtui,50m,7/26/21,August,1,2021,10:54:00 AM,59.422443,-151.306897,n,13.19,138,25243,21.4,11.3,YSI 2030,n,y,1.99,1.95,1.96,,1.966666667,Hach 2100P Turbidimeter,
kb,kbtui,50m,7/26/21,August,5,2021,10:55:00 AM,59.422443,-151.306897,n,13.21,142.6,34096,30.9,10,YSI 2030,n,n,,,,,,,
kb,kbtui,near,7/26/21,August,1,2021,9:45:00 AM,59.420369,-151.306006,y,13.17,,7719,6.5,7.7,YSI 2030,n,y,2.14,2.1,2.14,,2.126666667,Hach 2100P Turbidimeter,
kb,kbtui,near,7/26/21,August,5,2021,9:30:00 AM,59.420369,-151.306006,y,13.76,,15778,13.5,9.4,YSI 2030,n,n,,,,,,,
kb,kbtui,100m,8/20/21,September,1,2021,9:19:00 AM,59.421935,-151.307919,n,12.93,143.3,30784,25.7,12.8,YSI 2030,n,y,1.53,1.65,1.57,,1.583333333,Hach 2100P Turbidimeter,
kb,kbtui,100m,8/20/21,September,5,2021,9:19:00 AM,59.421935,-151.307919,n,12.61,138.3,34755,31,10.7,YSI 2030,n,n,,,,,,,
kb,kbtui,50m,8/20/21,September,1,2021,9:16:00 AM,59.422443,-151.306897,n,11.22,123.4,30793,26,12.3,YSI 2030,n,y,1.98,2.2,1.98,,2.053333333,Hach 2100P Turbidimeter,
kb,kbtui,50m,8/20/21,September,5,2021,9:16:00 AM,59.422443,-151.306897,n,11.81,129.8,34788,31,10.8,YSI 2030,n,n,,,,,,,
kb,kbtui,near,8/20/21,September,1,2021,7:00:00 AM,59.420369,-151.306006,y,12.48,,24661,20.5,12.1,YSI 2030,n,y,1.38,1.35,1.53,,1.42,Hach 2100P Turbidimeter,
kb,kbtui,near,8/20/21,September,5,2021,6:45:00 AM,59.420369,-151.306006,y,11.06,,29873,24.9,12.6,YSI 2030,n,n,,,,,,,
kb,kbtui,100m,9/20/21,October,1,2021,8:40:00 AM,59.421935,-151.307919,n,11.18,110.3,22246,19.6,9.5,YSI 2030,n,y,1.76,1.86,1.57,,1.73,Hach 2100P Turbidimeter,
kb,kbtui,50m,9/20/21,October,1,2021,8:39:00 AM,59.422443,-151.306897,n,11.07,115.6,27945,24.6,10.3,YSI 2030,n,y,2.64,2.86,2.88,,2.793333333,Hach 2100P Turbidimeter,
kb,kbtui,near,9/20/21,October,1,2021,8:30:00 AM,59.420369,-151.306006,y,9.16,,23958,21.1,9.7,YSI 2030,n,y,11.1,11.2,10.8,,11.03333333,Hach 2100P Turbidimeter,
kb,kbtui,100m,4/20/22,April,1,2022,12:26:00 PM,59.421935,-151.307919,n,1.07,9.7,16827,15.8,6.2,YSI 2030,n,y,1.73,1.92,1.86,,1.836666667,Hach 2100P Turbidimeter,
kb,kbtui,100m,4/20/22,April,5,2022,12:27:00 PM,59.421935,-151.307919,n,1.04,9.8,29266,30.9,4.3,YSI 2030,n,n,,,,,,,
kb,kbtui,50m,4/20/22,April,1,2022,12:20:00 PM,59.422443,-151.306897,n,1.27,11.2,21289,21.3,5.6,YSI 2030,n,y,1.38,1.4,1.46,,1.413333333,Hach 2100P Turbidimeter,
kb,kbtui,50m,4/20/22,April,5,2022,12:22:00 PM,59.422443,-151.306897,n,1.08,10.2,29313,30.9,4.3,YSI 2030,n,n,,,,,,,
kb,kbtui,near,4/20/22,April,1,2022,10:25:00 AM,59.420369,-151.306006,y,1.27,11.5,24309,24.8,4.4,YSI 2030,n,y,2.28,2.66,2.36,,2.433333333,Hach 2100P Turbidimeter,
kb,kbtui,100m,5/21/22,May,1,2022,1:54:00 PM,59.421935,-151.307919,n,2.05,19,20328,19.3,6.6,YSI 2030,n,y,2.28,2.08,2.07,,2.143333333,Hach 2100P Turbidimeter,
kb,kbtui,100m,5/21/22,May,5,2022,1:54:00 PM,59.421935,-151.307919,n,1.83,18.1,30624,30.6,6.2,YSI 2030,n,n,,,,,,,
kb,kbtui,50m,5/21/22,May,1,2022,1:50:00 PM,59.422443,-151.306897,n,2,18.2,23392,22.7,6.8,YSI 2030,n,y,2.06,2.14,2.12,,2.106666667,Hach 2100P Turbidimeter,
kb,kbtui,50m,5/21/22,May,5,2022,1:50:00 PM,59.422443,-151.306897,n,1.86,18.3,30595,30.6,6.2,YSI 2030,n,n,,,,,,,
kb,kbtui,near,5/21/22,May,1,2022,1:25:00 PM,59.420369,-151.306006,y,1.41,13.9,28739,28.2,6.6,YSI 2030,n,y,6.7,6.6,5.63,,6.31,Hach 2100P Turbidimeter,
kb,kbtui,100m,6/13/22,June,1,2022,1:54:00 PM,59.421935,-151.307919,n,0.82,7.9,20638,19.5,8.5,YSI 2030,n,y,3.5,3.3,3.62,,3.473333333,Hach 2100P Turbidimeter,
kb,kbtui,100m,6/13/22,June,5,2022,1:54:00 PM,59.421935,-151.307919,n,0.75,7.8,32374,30.4,8.6,YSI 2030,n,n,,,,,,,
kb,kbtui,50m,6/13/22,June,1,2022,1:50:00 PM,59.422443,-151.306897,n,1.1,10.5,22408,20.3,8.7,YSI 2030,n,y,2.56,2.52,2.76,,2.613333333,Hach 2100P Turbidimeter,
kb,kbtui,50m,6/13/22,June,5,2022,1:50:00 PM,59.422443,-151.306897,n,0.8,8.3,32416,30.5,8.5,YSI 2030,n,n,,,,,,,
kb,kbtui,near,6/13/22,June,1,2022,1:25:00 PM,59.420369,-151.306006,y,0.79,7.9,25463,23,9.1,YSI 2030,n,y,3.38,5.24,3.68,,4.1,Hach 2100P Turbidimeter,
kb,kbtui,100m,7/16/22,July,1,2022,11:25:00 AM,59.421935,-151.307919,n,1.66,14.7,15511,13.2,7.5,YSI 2030,n,y,9.35,10.8,9.45,,9.866666667,Hach 2100P Turbidimeter,
kb,kbtui,100m,7/16/22,July,5,2022,11:25:00 AM,59.421935,-151.307919,n,1.37,14.2,32430,30.2,8.3,YSI 2030,n,n,,,,,,,
kb,kbtui,50m,7/16/22,July,1,2022,11:31:00 AM,59.422443,-151.306897,n,1.51,14.8,24495,22.5,8.2,YSI 2030,n,y,15.9,15.2,15.4,,15.5,Hach 2100P Turbidimeter,
kb,kbtui,50m,7/16/22,July,5,2022,11:31:00 AM,59.422443,-151.306897,n,1.4,14.5,32437,30.7,8.3,YSI 2030,n,n,,,,,,,
kb,kbtui,near,7/16/22,July,1,2022,10:10:00 AM,59.420369,-151.306006,y,1.73,17.9,30361,28.3,8.6,YSI 2030,n,y,27.3,28.7,29.4,,28.46666667,Hach 2100P Turbidimeter,
kb,kbtui,100m,8/14/22,August,1,2022,11:05:00 AM,59.421935,-151.307919,n,1.29,12.5,16781,14.7,8.6,YSI 2030,n,y,6.09,6.3,6.27,,6.22,Hach 2100P Turbidimeter,
kb,kbtui,100m,8/14/22,August,5,2022,11:05:00 AM,59.421935,-151.307919,n,1.16,12.6,33560,30.1,10.3,YSI 2030,n,n,,,,,,,
kb,kbtui,50m,8/14/22,August,1,2022,11:00:00 AM,59.422443,-151.306897,n,2.85,23.3,25318,23.1,10.2,YSI 2030,n,y,5.97,5.98,6.4,,6.116666667,Hach 2100P Turbidimeter,
kb,kbtui,50m,8/14/22,August,5,2022,11:00:00 AM,59.422443,-151.306897,n,1.4,14.9,33562,30.1,10.3,YSI 2030,n,n,,,,,,,
kb,kbtui,near,8/14/22,August,1,2022,10:05:00 AM,59.420369,-151.306006,y,1.59,14.3,11485,10,7.9,YSI 2030,n,y,9.79,12.4,12.3,,11.49666667,Hach 2100P Turbidimeter,
kb,kbtui,100m,9/10/22,September,1,2022,10:00:00 AM,59.421935,-151.307919,n,1.2,11.6,18757,20,9.9,YSI 2030,n,y,14.6,16.8,15.2,,15.53333333,Hach 2100P Turbidimeter,
kb,kbtui,100m,9/10/22,September,5,2022,10:00:00 AM,59.421935,-151.307919,n,1.05,11.5,32005,27.4,11.8,YSI 2030,n,n,,,,,,,
kb,kbtui,50m,9/10/22,September,1,2022,9:56:00 AM,59.422443,-151.306897,n,1.67,16.7,19110,16.8,9.7,YSI 2030,n,y,4.52,4.01,4.27,,4.266666667,Hach 2100P Turbidimeter,
kb,kbtui,50m,9/10/22,September,5,2022,9:56:00 AM,59.422443,-151.306897,n,1.92,12.6,31822,27.4,11.7,YSI 2030,n,n,,,,,,,
kb,kbtui,near,9/10/22,September,1,2022,8:00:00 AM,59.420369,-151.306006,y,3.58,36.6,20192,17.7,9.3,YSI 2030,n,y,9.02,9.4,9.5,,9.306666667,Hach 2100P Turbidimeter,
kb,kbwsi,100m,4/2/21,April,1,2021,1:50:00 AM,59.555373,-151.366496,n,11.51,106.4,50.1,31.8,3,YSI 2030,n,y,7.48,7.73,7.41,,7.54,Hach 2100P Turbidimeter,
kb,kbwsi,50m,4/2/21,April,1,2021,1:47:00 AM,59.555376,-151.366581,n,12.03,108.7,49.9,31.2,3.1,YSI 2030,n,y,12.5,13.2,12.6,,12.76666667,Hach 2100P Turbidimeter,
kb,kbwsi,near,4/2/21,April,1,2021,12:00:00 AM,59.555479,-151.368604,y,12.73,,46.35,29.2,3.2,YSI 2030,n,y,70.1,68.8,69.7,,69.53333333,Hach 2100P Turbidimeter,
kb,kbwsi,near,4/2/21,April,5,2021,12:00:00 AM,59.555479,-151.368604,y,11.93,,42.06,26.5,3.2,YSI 2030,n,n,,,,,,,
kb,kbwsi,100m,5/2/21,May,1,2021,2:26:00 AM,59.555373,-151.366496,n,13.7,136.3,29711,31,4.7,YSI 2030,n,y,1.25,1.16,1.35,,1.253333333,Hach 2100P Turbidimeter,
kb,kbwsi,50m,5/2/21,May,1,2021,2:23:00 AM,59.555376,-151.366581,n,13.11,125.6,29929,31.2,4.7,YSI 2030,n,y,1.63,1.58,1.58,,1.596666667,Hach 2100P Turbidimeter,
kb,kbwsi,near,5/2/21,May,1,2021,12:00:00 AM,59.555479,-151.368604,y,15.03,,29787,31.1,4.7,YSI 2030,n,y,3.49,3.46,3.33,,3.426666667,Hach 2100P Turbidimeter,
kb,kbwsi,100m,5/27/21,June,1,2021,10:38:00 AM,59.555373,-151.366496,n,13.27,127.8,21186,4.4,7.2,YSI 2030,n,y,60.8,6.53,6.26,,24.53,Hach 2100P Turbidimeter,
kb,kbwsi,50m,5/27/21,June,1,2021,10:19:00 AM,59.555376,-151.366581,n,12.3,119.4,21082,18.9,8.6,YSI 2030,n,y,71.6,70.1,65.1,,68.93333333,Hach 2100P Turbidimeter,
kb,kbwsi,near,5/27/21,June,1,2021,12:00:00 AM,59.555479,-151.368604,y,11.04,,30643,30.4,6.5,YSI 2030,n,y,159,172,151,,160.6666667,Hach 2100P Turbidimeter,
kb,kbwsi,near,5/27/21,June,5,2021,12:00:00 AM,59.555479,-151.368604,y,12.26,,30471,30.4,6.2,YSI 2030,n,n,,,,,,,
kb,kbwsi,100m,6/25/21,July,1,2021,10:34:00 AM,59.555373,-151.366496,n,12.09,118.7,26554,25.2,8.4,YSI 2030,n,y,173,171,168,,170.6666667,Hach 2100P Turbidimeter,
kb,kbwsi,50m,6/25/21,July,1,2021,10:32:00 AM,59.555376,-151.366581,n,12.08,121.8,29205,27.5,8,YSI 2030,n,y,243,243,239,,241.6666667,Hach 2100P Turbidimeter,
kb,kbwsi,near,6/25/21,July,0.5,2021,12:00:00 AM,59.555479,-151.368604,y,10.61,,12677,11.1,8.1,YSI 2030,n,y,196,190,195,,193.6666667,Hach 2100P Turbidimeter,
kb,kbwsi,near,6/25/21,July,1,2021,12:00:00 AM,59.555479,-151.368604,y,10.73,,25251,23.6,7.8,YSI 2030,n,n,,,,,,,
kb,kbwsi,100m,7/24/21,August,1,2021,10:44:00 AM,59.555373,-151.366496,n,,,17461,15.2,9.2,YSI 2030,n,y,120,119,121,,120,Hach 2100P Turbidimeter,
kb,kbwsi,50m,7/24/21,August,1,2021,10:30:00 AM,59.555376,-151.366581,n,12.22,116,16803,14.7,8.9,YSI 2030,n,y,283,281,276,,280,Hach 2100P Turbidimeter,
kb,kbwsi,near,7/24/21,August,,2021,8:45:00 AM,59.555479,-151.368604,y,9.81,,26015,23.2,9.6,YSI 2030,n,y,615,625,623,,621,Hach 2100P Turbidimeter,
kb,kbwsi,near,7/24/21,August,0.5,2021,8:30:00 AM,59.555479,-151.368604,y,11.12,,24446,21.7,9.6,YSI 2030,n,n,,,,,,,
kb,kbwsi,100m,8/21/21,September,1,2021,10:01:00 AM,59.555373,-151.366496,n,8.69,95.4,33205,29,11.4,YSI 2030,n,y,54.5,55.4,54.9,,54.93333333,Hach 2100P Turbidimeter,
kb,kbwsi,50m,8/21/21,September,1,2021,9:57:00 AM,59.555376,-151.366581,n,8.67,95.1,33181,28.8,11.6,YSI 2030,n,y,29.8,30.2,30,,30,Hach 2100P Turbidimeter,
kb,kbwsi,near,8/21/21,September,1,2021,7:45:00 AM,59.555479,-151.368604,y,10.97,,28346,24.6,10.9,YSI 2030,n,y,629,639,643,,637,Hach 2100P Turbidimeter,
kb,kbwsi,near,8/21/21,September,0.5,2021,7:45:00 AM,59.555479,-151.368604,y,11.15,,28347,24.6,10.9,YSI 2030,n,n,,,,,,,
kb,kbwsi,100m,9/19/21,October,1,2021,5:03:00 AM,59.555373,-151.366496,n,8.25,89.6,33531,29.9,10.6,YSI 2030,n,y,1.76,2.17,1.81,,1.913333333,Hach 2100P Turbidimeter,
kb,kbwsi,50m,9/19/21,October,1,2021,5:02:00 AM,59.555376,-151.366581,n,7.88,85.7,33584,29.9,10.7,YSI 2030,n,y,1.13,1.15,1.22,,1.166666667,Hach 2100P Turbidimeter,
kb,kbwsi,near,9/19/21,October,1,2021,8:15:00 AM,59.555479,-151.368604,y,9.21,,31941,28.7,10.2,YSI 2030,n,y,125,124,124,,124.3333333,Hach 2100P Turbidimeter,
kb,kbwsi,100m,4/18/22,April,1,2022,11:30:00 AM,59.555373,-151.366496,n,1.41,13.3,2605,26.8,4.8,YSI 2030,n,y,2.15,2.39,2.11,,2.216666667,Hach 2100P Turbidimeter,
kb,kbwsi,50m,4/18/22,April,1,2022,10:14:00 AM,59.555376,-151.366581,n,1.7,16,27479,28.3,4.8,YSI 2030,n,y,46.1,46.9,48.6,,47.2,Hach 2100P Turbidimeter,
kb,kbwsi,near,4/18/22,April,1,2022,11:44:00 AM,59.555479,-151.368604,y,1.56,14.2,19421,18.6,6.2,YSI 2030,n,y,33.1,32,30.3,,31.8,Hach 2100P Turbidimeter,
kb,kbwsi,100m,5/20/22,May,1,2022,1:45:00 PM,59.555373,-151.366496,n,1.79,17.9,21861,19.9,8.2,YSI 2030,n,y,5.14,6.57,5.1,,5.603333333,Hach 2100P Turbidimeter,
kb,kbwsi,100m,5/20/22,May,5,2022,1:45:00 PM,59.555373,-151.366496,n,1.7,17.1,31000,30.2,7.1,YSI 2030,n,n,,,,,,,
kb,kbwsi,50m,5/20/22,May,1,2022,1:40:00 PM,59.555376,-151.366581,n,1.94,19.4,25135,23,8.8,YSI 2030,n,y,8.32,8.35,8.65,,8.44,Hach 2100P Turbidimeter,
kb,kbwsi,near,5/20/22,May,1,2022,12:20:00 PM,59.555479,-151.368604,y,1.87,18.1,22184,20.2,8.3,YSI 2030,n,y,29.3,29,29.5,,29.26666667,Hach 2100P Turbidimeter,
kb,kbwsi,100m,6/15/22,June,1,2022,10:16:00 AM,59.555373,-151.366496,n,0.74,7.3,20202,17.2,10.3,YSI 2030,n,y,69.6,71.5,69.9,,70.33333333,Hach 2100P Turbidimeter,
kb,kbwsi,50m,6/15/22,June,1,2022,9:53:00 AM,59.555376,-151.366581,n,0.77,7.6,18038,15.3,10.1,YSI 2030,n,y,94,92.7,95.3,,94,Hach 2100P Turbidimeter,
kb,kbwsi,near,6/15/22,June,1,2022,9:50:00 AM,59.555479,-151.368604,y,0.64,6.6,26278,22.8,10.7,YSI 2030,n,y,35.1,34.3,34.9,,34.76666667,Hach 2100P Turbidimeter,
kb,kbwsi,100m,7/14/22,July,1,2022,11:41:00 AM,59.555373,-151.366496,n,2,21.3,21744,15.8,9.7,YSI 2030,n,y,112,113,112,,112.3333333,Hach 2100P Turbidimeter,
kb,kbwsi,50m,7/14/22,July,1,2022,9:34:00 AM,59.555376,-151.366581,n,2.19,21.6,23354,21.1,8.8,YSI 2030,n,y,1965,1944,1923,,1944,Hach 2100P Turbidimeter,
kb,kbwsi,near,7/14/22,July,1,2022,9:15:00 AM,59.555479,-151.368604,y,2.48,21.9,7258,6.1,8.2,YSI 2030,n,y,834,845,848,,842.3333333,Hach 2100P Turbidimeter,
kb,kbwsi,100m,8/12/22,August,1,2022,10:48:00 AM,59.555373,-151.366496,n,1.81,16.5,26578,22.9,11.2,YSI 2030,n,y,189,191,177,,185.6666667,Hach 2100P Turbidimeter,
kb,kbwsi,50m,8/12/22,August,1,2022,10:46:00 AM,59.555376,-151.366581,n,1.45,14.4,14855,15.4,9.9,YSI 2030,n,y,478,476,474,,476,Hach 2100P Turbidimeter,
kb,kbwsi,near,8/12/22,August,1,2022,9:42:00 AM,59.555479,-151.368604,y,2.37,24.3,22038,18.5,11.2,YSI 2030,n,y,142,142,140,,141.3333333,Hach 2100P Turbidimeter,
kb,kbwsi,100m,9/8/22,September,1,2022,10:15:00 AM,59.555373,-151.366496,n,1.55,16.1,26668,22.4,11.5,YSI 2030,n,y,82.9,83.4,80,,82.1,Hach 2100P Turbidimeter,
kb,kbwsi,50m,9/8/22,September,1,2022,10:12:00 AM,59.555376,-151.366581,n,2.17,20.6,23558,20.1,10.7,YSI 2030,n,y,161,158,159,,159.3333333,Hach 2100P Turbidimeter,
kb,kbwsi,near,9/8/22,September,1,2022,8:10:00 AM,59.555479,-151.368604,y,4.04,40.4,21482,18.6,10.1,YSI 2030,n,y,1162,1142,1120,,1141.333333,Hach 2100P Turbidimeter,