ScientificName,Kingdom,Phylum,Class,Order,Family,Genus,Species
Hexagrammos octogrammus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos octogrammus
Myoxocephalus polyacanthocephalus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus polyacanthocephalus
Anoplarchus insignis,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus insignis
Eleginus gracilis,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Eleginus,Eleginus gracilis
Gadus macrocephalus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus
Gasterosteus aculeatus,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus
Hemilepidotus spinosus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus
Leptocottus armatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Leptocottus,Leptocottus armatus
Pholis laeta,Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,Pholis laeta
Salvelinus malma,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus malma
Clinocottus acuticeps,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus acuticeps
Platichthys stellatus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus
Microgadus tomcod,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Microgadus,Microgadus tomcod
Pleuronectidae,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA
Blepsias cirrhosus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Blepsias,Blepsias cirrhosus
Hexagrammos lagocephalus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos lagocephalus
Liparidae,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA
Lumpenus sagitta,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Stichaeidae,Lumpenus,Lumpenus sagitta
Oncorhynchus gorbuscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha
Ammodytes hexapterus,Animalia,Chordata,Actinopterygii,Trachiniformes,Ammodytidae,Ammodytes,Ammodytes hexapterus
Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
Cottidae,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA
Enophrys bison,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Enophrys,Enophrys bison
Ophiodon elongatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon,Ophiodon elongatus
Apodichthys flavidus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Pholidae,Apodichthys,Apodichthys flavidus
Lepidopsetta spp.,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lepidopsetta,NA
Psettichthys melanostictus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus